feature,importance
log_freight,0.9980333
Dollars,0.00054962904
is_summer,0.00033327652
days_to_pay,0.00025872345
freight_per_unit,0.00018670516
freight_per_dollar,0.00015233549
Quantity,0.00014666501
invoice_month,0.00013841226
avg_unit_price,0.00010592962
invoice_weekend,9.507488e-05
inventory_turnover,0.0
is_bulk_order,0.0
log_dollars,0.0
log_quantity,0.0
avg_begin_inventory,0.0
avg_inventory,0.0
avg_end_inventory,0.0
payment_efficiency,0.0
is_q4,0.0
is_holiday_season,0.0
invoice_quarter,0.0
is_high_value,0.0
